rank,view,like,dm,coin,collect,share,fan,deltatime,c_pts
1,3163183,517974,41427,573000,96000,27000,1291000.0,272290.791877985,4962159
2,3515174,533695,78001,321000,66000,13000,7461000.0,176415.11081719398,4615205
3,4918513,696569,70648,547000,214000,20000,13504000.0,284135.38603043556,3952363
4,3155529,375100,24905,172000,64000,12000,9239000.0,198537.87039923668,3819274
5,1829848,263971,18368,107000,39000,3808,Non,111624.18862748146,2829749
6,3324491,441058,20800,220000,76000,18000,4746000.0,278054.47743558884,2821521
7,1630184,210713,59410,186000,69000,5731,4866000.0,212417.73200130463,2792960
8,5492053,299420,16617,24000,72000,74000,Non,283042.00532865524,2589228
9,1334236,301447,6368,311000,89000,5852,2098000.0,277233.4949274063,2436890
10,1789654,246335,12367,241000,96000,19000,6549000.0,280822.2774322033,2258692
11,1266432,203854,3889,77000,19000,1812,3130000.0,196700.59479618073,2232784
12,1033324,183693,7133,87000,20000,1460,5345000.0,178038.9206881523,2144070
13,2175880,147958,1554,92000,42000,34000,31000.0,266064.1979150772,2121154
14,992684,134842,4076,156000,67000,15000,9393,278721.4825747013,2085324
15,1117057,139986,11225,60000,32000,2135,6301000.0,196730.76907157898,2029183
16,1124917,145296,3090,85000,17000,2326,3062000.0,194899.09583473206,1898569
17,1551216,129185,2700,84000,32000,1683,Non,302129.4694080353,1898062
18,1680663,121559,1505,31000,68000,16000,Non,280860.7359189987,1871268
19,1468097,96648,15608,62000,29000,48000,Non,39631.03184056282,1864538
20,1555025,102822,2025,32000,71000,9406,3300,279633.37759160995,1822849
21,1399215,139384,10884,39000,18000,2269,5663000.0,186180.99758028984,1805125
22,1337564,96683,9074,34000,37000,13000,5031000.0,191645.38063645363,1759133
23,577809,79166,12928,99000,38000,5588,1401000.0,197623.68705630302,1726890
24,4730481,357671,5417,156000,109000,99000,1474000.0,798589.955384016,1719011
25,1070273,65995,2096,41000,69000,8175,627000.0,190833.31505918503,1707519
26,1225960,109419,4823,41000,20000,1875,2519000.0,192670.7640709877,1653566
27,1469825,78211,3051,30000,57000,9290,46000.0,267683.23654556274,1640606
28,1129378,89569,6962,42000,24000,10000,5032000.0,195466.5099515915,1603159
29,616075,127688,4273,41000,14000,1153,2401000.0,257124.8961136341,1566829
30,684740,157302,8259,21000,7256,1020,Non,190835.2069311142,1552008
31,1748434,105754,5759,34000,16000,13000,145000.0,277923.47322416306,1540265
32,487134,68128,2272,46000,38000,4791,Non,187235.82421422005,1526212
33,994026,111072,1665,29000,13000,1659,2394000.0,202933.14042258263,1490097
34,833858,70144,24503,30000,23000,6376,26000.0,107356.46408581734,1468028
35,1050671,86622,4321,65000,14000,3574,4711,292227.77465581894,1460561
36,2491143,254908,13624,157000,72000,38000,Non,450414.0815434456,1424774
37,1240240,129002,7070,45000,18000,16000,460000.0,274389.34068489075,1413675
38,1085560,153282,5314,32000,9803,833,1069000.0,267159.6595237255,1404233
39,1631378,96927,2673,23000,17000,12000,Non,299121.9260494709,1403053
40,1246044,66689,1176,18000,34000,4629,Non,268615.25455379486,1390034
41,701583,89437,800,27000,16000,1070,Non,222330.6534807682,1360421
42,1046017,119107,7402,18000,5263,917,4981000.0,106243.91687607765,1358859
43,728783,66931,1440,26000,27000,6019,2083,278084.2540874481,1316847
44,758850,60574,920,19000,44000,21000,Non,300441.52591609955,1295414
45,637749,59066,8203,44000,12000,934,1610000.0,248700.78975248337,1273668
46,1326823,66226,7451,33000,12000,6225,103000.0,110427.06265068054,1272011
47,1935187,160394,1675,76000,54000,11000,Non,371397.5063660145,1235524
48,821440,98924,5301,27000,4244,1275,1089000.0,111643.77017569542,1227086
49,829376,57024,4713,35000,14000,17000,81000.0,167015.08110260963,1212292
50,1865499,132237,5876,54000,39000,28000,Non,466004.34275078773,1199886
51,828194,62440,1470,14000,18000,5107,116000.0,223245.62792611122,1197085
52,369715,66383,6884,52000,16000,553,669000.0,223246.02547097206,1172498
53,1072700,72568,5330,17000,7290,1643,3455000.0,189233.28835511208,1171347
54,391580,70041,3348,55000,14000,3482,858000.0,100372.60152554512,1168815
55,5425459,502349,10875,220000,137000,49000,408000.0,1578581.8840436935,1149077
56,901334,77169,2753,16000,7561,2546,753000.0,142968.2238779068,1148911
57,2718043,266913,31634,220000,114000,14000,617000.0,542942.5364727974,1146549
58,3330257,273588,14597,224000,115000,46000,490000.0,647735.9813323021,1144720
59,528152,49849,3942,29000,32000,3345,619000.0,268536.29332995415,1143431
60,752663,86575,11831,15000,5432,1916,2312000.0,190844.5850660801,1130889
61,929785,54548,2871,19000,17000,3136,78000.0,271836.9075524807,1130623
62,660785,46347,1409,7491,24000,1857,251000.0,216016.26509451866,1128946
63,493301,43900,1691,34000,19000,4112,583000.0,144715.70517754555,1125414
64,876346,62799,3570,16000,15000,3869,Non,297754.0472562313,1118785
65,614327,87086,2980,24000,4606,506,689000.0,216412.4234623909,1106157
66,3056659,109987,1293,12000,29000,20000,Non,544500.686054945,1093581
67,727678,67626,5591,20000,7688,1924,5832000.0,129907.08019351959,1092996
68,2224402,133589,3255,14000,60000,17000,Non,867075.4135403633,1088017
69,768268,47521,1341,15000,14000,4192,2254000.0,255654.9168305397,1087116
70,1144576,88033,925,11000,5208,1323,100000.0,275765.2038424015,1086762
71,1854762,106425,4454,36000,12000,1983,33000.0,431671.8314344883,1070162
72,1295757,76531,1230,10000,9690,5902,1191000.0,279276.10012578964,1064909
73,1450902,120314,2869,5009,16000,3596,11000.0,516022.26706147194,1060366
74,761506,53084,789,17000,10000,1365,55000.0,261065.59727668762,1055095
75,1322642,51746,148,4256,20000,14000,Non,386523.87423348427,1053953
76,3605780,315161,3646,209000,172000,12000,59000.0,788449.2623739243,1051289
77,1002584,52820,907,4820,17000,6816,Non,190400.54339170456,1051149
78,750196,72026,2914,15000,4425,791,Non,201941.9135518074,1048685
79,1448057,141076,8586,38000,6225,1521,4300000.0,277260.56878209114,1041948
80,1647329,210729,9193,199000,49000,2336,2156000.0,345709.1837530136,1038282
81,559163,69155,8722,22000,7452,1724,Non,190463.04636883736,1023570
82,946116,82342,1445,13000,7053,2682,895000.0,268606.41874599457,1023147
83,1480741,86588,818,48000,35000,1435,269000.0,386653.59301805496,1014843
84,1354493,97644,9550,31000,8784,3374,4050000.0,273648.51817822456,1013660
85,629138,75380,4787,41000,7157,1529,2969000.0,19563.83133125305,1010905
86,602349,41837,11994,25000,12000,4620,3599000.0,91241.95706129074,1010050
87,604438,40899,1961,8557,18000,6192,Non,245952.1811861992,998790
88,687164,55584,4735,15000,6899,1053,Non,212456.81023311615,985254
89,825403,77680,3995,44000,17000,1812,941000.0,273656.4052915573,977797
90,875538,60760,1810,8611,8214,3004,Non,194471.04032421112,967145
91,425342,66830,3355,33000,7111,713,1327000.0,101870.62436938286,965298
92,524196,49752,3833,32000,7428,1095,466000.0,126070.97139334679,963039
93,510163,34577,8869,34000,11000,743,2364000.0,74083.27049064636,953072
94,731891,63349,4242,6291,3657,2155,4727000.0,259554.9165391922,952134
95,342613,22818,14366,4712,35000,3731,Non,188153.23157691956,942865
96,475643,65301,981,17000,7572,535,1554000.0,186991.75809073448,941423
97,618262,80784,1955,42000,10000,1305,871000.0,276961.44835591316,917858
98,808510,60426,1604,29000,7010,937,69000.0,298371.71637558937,910270
99,4453622,357453,6887,213000,149000,63000,97000.0,1519226.4476788044,910090
100,538891,58207,866,12000,7365,4056,921000.0,127865.0285923481,897636
